venda_sk,order_id,order_item_id,cliente_sk,produto_sk,tempo_sk,valor_produto,valor_frete,valor_total
35,00143d0f86d6fbd9f9b38ab440ac16f5,3,58261,21359,76,21.33,15.1,36.43
36,0014ae671de39511f7575066200733b7,1,85853,16475,460,16.5,14.1,30.6
37,0015ebb40fb17286bea51d4607c4733c,1,42562,16580,222,21.9,15.1,37.0
38,00169e31ef4b29deaae414f9a5e95929,1,21029,26349,193,39.0,16.11,55.11
39,0016dfedd97fc2950e388d2971d718c7,1,72802,28534,495,49.75,20.8,70.55
40,0017afd5076e074a48f1f1a4c7bac9c5,1,27545,20794,74,809.1,44.29,853.39
41,001862358bf858722e1e2ae000cfed8b,1,77768,6238,93,99.99,13.72,113.71
42,0019c29108428acffd089c36103c9440,1,85512,21860,369,59.9,19.95,79.85
43,001ab0a7578dd66cd4b0a71f5b6e1e41,1,15061,26488,275,24.89,17.63,42.52
44,001ab0a7578dd66cd4b0a71f5b6e1e41,2,15061,26488,275,24.89,17.63,42.52
45,001ab0a7578dd66cd4b0a71f5b6e1e41,3,15061,26488,275,24.89,17.63,42.52
46,001ac194d4a326a6fa99b581e9a3d963,1,82237,4519,304,54.0,8.54,62.54
47,001b76dd48a5b1eee3e87778daa40df8,1,11397,20491,36,81.99,13.01,95.0
48,001c85b5f68d2be0cb0797afc9e8ce9a,1,507,21689,38,99.0,13.71,112.71
49,001d8f0e34a38c37f7dba2a37d4eba8b,1,70021,20437,42,18.99,7.78,26.77
50,001d8f0e34a38c37f7dba2a37d4eba8b,2,70021,20437,42,18.99,7.78,26.77
51,001daeb0eddc45b999bad0801ad9d273,1,75400,25461,91,38.33,16.79,55.12
52,001dbc16dc51075e987543d23a0507c7,1,36286,15669,94,69.9,18.0,87.9
53,001e7ba991be1b19605ca0316e7130f9,1,4396,28687,579,195.0,18.21,213.21
54,001e7cf2ad6bef3ade12ebc56ceaf0f3,1,15116,31814,281,35.9,15.2,51.1
55,0020262c8a370bd5a174ea6a2a267321,1,88307,6914,98,79.5,21.05,100.55
56,0020a222f55eb79a372d0efee3cca688,1,10762,19480,442,29.99,15.1,45.09
57,002175704e8b209f61b9ad5cfd92b60e,1,28679,23429,58,109.9,13.21,123.11
58,00229e4e43f7a7e0b9dd819ad43268d3,1,45239,15720,108,74.9,16.49,91.39
59,0025081dcf9330f9a5052ae82c6ce396,1,32772,13188,216,14.95,18.23,33.18
60,00254baeb6c932b0a8aeead91fbd02b5,1,22851,9010,110,149.9,43.11,193.01
61,00259a44fcad3fc0474329e925d14fc3,1,27282,9697,275,19.99,14.1,34.09
62,0025c5d1a8ca53a240ec2634bb4492ea,1,59698,2759,578,390.0,29.39,419.39
63,002611a77fe03d076285fd4ca95db77c,1,62210,14757,79,135.0,21.75,156.75
64,002691433f09002ac9ca0c4e8dbb8ead,1,49434,18861,449,104.0,16.43,120.43
65,0026a368634b6e6f34f33b1499773a30,1,74110,21005,402,149.0,15.8,164.8
66,00275bce676303c3bfd7292aefdfa223,1,83936,32438,38,279.9,13.46,293.36
67,00276d5c3491fbf55305e26891040df9,1,68959,17682,5,44.9,23.22,68.12
68,002834535f7a609a5c68266f173fa59e,1,37044,12234,129,37.99,19.18,57.17
69,0028de0ca693a1bb26448916a81105cc,1,638,12292,420,29.99,15.31,45.3
70,002955b0acc63d04f6724a31967e82bd,1,57971,17613,513,120.0,15.59,135.59
71,0029c5db35ef291ce99d1262012e7daa,1,80036,14260,416,492.75,21.62,514.37
72,0029f17cf0e7640c5cb6825af681303f,1,78691,9275,26,94.9,18.54,113.44
73,002af7fa9eb99d1456bceb6a13d6fc0b,1,97271,20702,428,88.34,21.11,109.45
74,002b430ff89b3a24c31a1170acbbedea,1,39650,14036,370,199.99,65.56,265.55
75,002b4e6fa42cd4a22cc86abc18fe9c05,1,9278,19820,448,99.9,19.67,119.57
76,002c9def9c9b951b1bec6d50753c9891,1,75254,25446,87,78.0,8.9,86.9
77,002c9def9c9b951b1bec6d50753c9891,2,75254,25446,87,78.0,8.9,86.9
78,002d040018d12a3853c059f7f23ab5b1,1,86076,20462,267,155.0,14.84,169.84
79,002f16b7bc4530031b7d90f791b12d8a,1,66901,20614,135,249.9,34.23,284.13
80,002f98c0f7efd42638ed6100ca699b42,1,60426,24292,39,8.99,32.57,41.56
81,002f98c0f7efd42638ed6100ca699b42,2,60426,24601,39,44.9,7.16,52.06
82,0030d783f979fbc5981e75613b057344,1,7837,8681,38,60.6,17.67,78.27
83,0030ff924c38549807645976adeef2c0,1,87387,14166,450,225.0,67.24,292.24
84,00324b3eda39ba5ecce3945823e3594c,1,12234,11487,201,76.0,34.07,110.07
85,0032d07457ae9c806c79368d7d9ce96b,1,15983,7508,356,159.0,27.19,186.19
86,003324c70b19a16798817b2b3640e721,1,45231,14058,41,102.9,14.45,117.35
87,003324c70b19a16798817b2b3640e721,2,45231,14058,41,102.9,14.45,117.35
88,00335b686d693c7d72deeb12f8e89227,1,4639,9300,180,63.9,16.89,80.79
89,00335f75ea6a4455b524a8dd177067f5,1,38935,15802,111,168.8,8.21,177.01
90,00337fe25a3780b3424d9ad7c5a4b35e,1,43821,3403,458,59.9,9.94,69.84
91,00337fe25a3780b3424d9ad7c5a4b35e,2,43821,21087,458,59.9,9.94,69.84
92,003423b755b562962a6225a8de40d12e,1,84773,16893,578,232.75,28.58,261.33
93,00345f338696283410b7977d2e3efc89,1,80298,21951,106,48.9,18.44,67.34
94,0035246a40f520710769010f752e7507,1,47262,25503,237,87.0,12.11,99.11
95,0035c0b07126fe9c24a325216fb96064,1,22156,31656,38,131.9,18.54,150.44
96,0035e6b7ade84b3f5b86bd49814793df,1,34829,32841,33,19.9,14.1,34.0
97,0036757472ece3dde52fd4bfd929c90e,1,16349,25810,487,136.99,66.04,203.03
98,0036887767dea4bd43b1a88cd0d9477a,1,34606,32184,440,399.99,23.64,423.63
99,00378c6c981f234634c0b9d6128df6dd,1,83710,31685,139,41.0,11.85,52.85
100,003822434f91204da0a51fe4cf2aba18,1,72731,26610,62,69.0,18.58,87.58
101,003822434f91204da0a51fe4cf2aba18,2,72731,26610,62,69.0,18.58,87.58
102,0039500db36d50d7d0bfaf23723550f3,1,33911,12688,100,169.9,33.33,203.23
103,003a7f59d7e08a9c61d9e2881fe6459c,1,9710,17206,345,119.0,15.28,134.28
104,003a94f778ef8cfd50247c8c1b582257,1,81916,12808,86,39.9,18.08,57.98
105,003cc6161d7a2593f2525cce0c330d32,1,38460,3287,86,85.0,12.9,97.9
106,003d0634280ff3d1d3a54459349a6899,1,5703,23831,205,220.0,8.89,228.89
107,003d804eef0e1b856881cd18e0cc0d4c,1,13031,6370,128,277.0,35.74,312.74
108,003d9fc84ad902adf2265248b5ffe1a4,1,63064,13985,345,66.99,27.75,94.74
109,003edccf16bc5ec447f592913b3df2b4,1,79640,22808,562,14.0,50.85,64.85
110,003f201cdd39cdd59b6447cff2195456,1,90163,2796,33,85.0,17.03,102.03
111,003f201cdd39cdd59b6447cff2195456,2,90163,2796,33,85.0,17.03,102.03
112,003f9bcc09427647c4b9d361a523545b,1,68210,27116,93,229.0,9.8,238.8
113,00404fa7a687c8c44ca69d42695aae73,1,57615,794,206,99.9,0.0,99.9
114,0040a56893444cb56cba7cfe2225e34e,1,46040,26253,81,84.9,34.39,119.29
115,004157daafa0bc8672e01f00e4f0c04f,1,38852,30094,298,189.0,33.91,222.91
116,00418a49a685c6bb60633291c3fab17a,1,81628,195,550,49.0,7.78,56.78
117,004345d16a1ab2c21962992c721c8643,1,38957,1224,304,37.9,15.37,53.27
118,0044c6f6d22dd280534344177c81b989,1,74779,22682,326,179.93,16.14,196.07
119,0045e3085f083f0f38d24bb3f22e6593,1,83739,24354,28,116.9,13.84,130.74
120,0045f5225a96ef46630701167528fdcb,1,11526,22986,430,94.9,15.51,110.41
121,0046176ff0dbc2a178b7885355dfbb71,1,5140,21727,537,121.99,15.73,137.72
122,0046e1d57f4c07c8c92ab26be8c3dfc0,1,64300,12614,148,7.79,7.78,15.57
123,00471463a6106056c1a2a809f70de640,1,46540,15493,347,179.99,85.97,265.96
124,00482f2670787292280e0a8153d82467,1,64915,25315,314,7.6,10.96,18.56
125,0049edf42837aa808e03552a62bd2158,1,73503,30294,580,49.9,17.6,67.5
126,004b62108b876867938746ad3154167f,1,65198,3176,304,110.32,8.03,118.35
127,004ba47bb589cdbc485e6025bd6d3c81,1,87249,6519,403,49.0,11.85,60.85
128,004ca5ae248069d68e8594df8abf6ce0,1,22802,7835,197,159.9,61.18,221.08
129,004d76fef3dd46eb4f70da049c8d1f93,1,26582,19197,85,120.0,27.39,147.39
130,004eab0fd8f28adaf8d488976f77febe,1,12898,8406,371,21.5,11.98,33.48
131,004f5d8f238e8908e6864b874eda3391,1,81690,29569,79,122.99,15.61,138.6
132,004fb11815bc03b01b20a614eef69d14,1,56960,26301,245,72.99,19.75,92.74
133,004fb5e6f90a178dc74ad2b016649249,1,22658,1556,483,129.99,13.93,143.92
134,005059edee63c8c708ba61910793b31b,1,88433,21689,175,92.0,17.89,109.89
135,005059edee63c8c708ba61910793b31b,2,88433,21689,175,92.0,17.89,109.89
136,00526a9d4ebde463baee25f386963ddc,1,83508,9225,358,33.89,8.4,42.29
137,00526a9d4ebde463baee25f386963ddc,2,83508,9225,358,33.89,8.4,42.29
138,00526a9d4ebde463baee25f386963ddc,3,83508,9225,358,33.89,8.4,42.29
139,00526a9d4ebde463baee25f386963ddc,4,83508,9225,358,33.89,8.4,42.29
140,0055b77cca3186676c147f532dd2547b,1,30868,8291,57,149.0,40.37,189.37
141,0057199db02d1a5ef41bacbf41f8f63b,1,62016,30675,151,20.3,16.79,37.09
142,00571ded73b3c061925584feab0db425,1,41296,28623,41,179.9,15.01,194.91
143,00571ded73b3c061925584feab0db425,2,41296,28623,41,179.9,15.01,194.91
144,00584d79015452d19fd3d044ba3abdc0,1,90729,18350,418,109.9,12.27,122.17
145,00588f5f20fee630b83d4709e0a42715,1,92293,24505,523,89.0,25.9,114.9
146,005997dca4c1fc45066d0a03d54a6469,1,92055,26653,201,120.0,13.75,133.75
147,005a1dded353107dbabf8ffc83a20365,1,54573,11535,230,75.0,14.28,89.28
148,005b49de51a4e006055e8487a50ad8e4,1,1562,10513,498,46.86,14.52,61.38
149,005cad6157eadc7f1f09917607f1704a,1,16845,9945,359,96.0,14.84,110.84
150,005d9a5423d47281ac463a968b3936fb,1,33287,32825,272,49.99,18.12,68.11
151,005d9a5423d47281ac463a968b3936fb,2,33287,24990,272,24.99,13.58,38.57
152,005d9a5423d47281ac463a968b3936fb,3,33287,24990,272,24.99,13.58,38.57
153,005e5166e99d1e4d0c4f808b0540ba94,1,14409,27233,33,120.1,16.6,136.7
154,005f25968fc854ea16fb16f5bdbc87c7,1,9693,25925,270,69.9,16.25,86.15
155,00602f25bffa1dcfb71e202fbf9824fb,1,45201,14854,520,39.9,54.02,93.92
156,00611822267e76e0055c25c18506f06e,1,93381,10030,47,159.9,20.31,180.21
157,006127b8b9a1681a982313ed7129c3c0,1,87014,24881,279,540.0,16.22,556.22
158,0064d74f7de7917d54768d7722ad56ac,1,39509,26857,224,189.9,31.17,221.07
159,006557c3221c1fcd02b0106343ab357b,1,93629,22482,375,14.9,8.27,23.17
160,00664284de7a3470d22931ed78615ee4,1,83725,13981,545,43.9,11.85,55.75
161,0066a1fdaee16ad5022c5ef979d0b661,1,16139,14697,430,139.0,87.28,226.28
162,0067c6030d65af0ff98790158ddb0020,1,78851,15300,490,40.35,13.71,54.06
163,0068468c453d28c8ef3fd089e50a5847,1,67125,962,38,469.0,20.85,489.85
164,00685d31ae12e47470ba5c18ba74f22c,1,95094,19029,478,59.0,16.17,75.17
165,0068c109948b9a1dfb8530d1978acef3,1,36216,4223,81,35.9,15.79,51.69
166,0068c109948b9a1dfb8530d1978acef3,2,36216,4223,81,35.9,15.79,51.69
167,0068e836900867da359bd81db9227a33,1,69054,25121,103,96.99,16.44,113.43
168,0068fb0e223115e911d362627e8b8800,1,59622,21396,117,77.9,13.89,91.79
169,006c42f310102c1910b3c5793ce5fc34,1,53062,20351,262,229.99,20.8,250.79
170,006cb7cafc99b29548d4f412c7f9f493,1,2712,245,32,56.0,14.14,70.14
171,006cba07f62f921fe4f58365bde2b2eb,1,32793,2023,406,69.99,11.99,81.98
172,006dd93155bc2abd844cc5eed3a0fe7f,1,33055,24441,115,49.9,7.78,57.68
173,006df90050498994d670b40da4651d22,1,61333,29849,473,14.0,7.39,21.39
174,006e05e81c068ddc38e48ebe189b922e,1,22364,12124,275,29.0,14.1,43.1
175,006e43460a55bc60c0a437521e426529,1,56553,11025,274,99.0,43.06,142.06
176,006e91ddb0674525f84ce0da0655c7ba,1,33035,22975,201,499.0,30.35,529.35
177,006f7dfffe2d90809598e8f1972b829b,1,88230,18388,557,39.85,12.79,52.64
178,0070092bb6004faafa287e5fc35971e9,1,9861,1130,533,149.0,14.06,163.06
179,0071ee2429bc1efdc43aa3e073a5290e,1,71686,12925,81,179.98,12.46,192.44
180,0072847849eafe70995fa51a714c81ac,1,35293,27176,87,219.99,14.9,234.89
181,00750f68bb64537034e93554c64b41b5,1,91792,4951,518,129.0,8.16,137.16
182,00756576f4e494406945ac21cb82cfe0,1,89321,25794,107,137.0,15.71,152.71
183,00772b2af35643653f108fdac1155ee3,1,96843,23025,424,37.0,10.96,47.96
184,00789ce015e7e5791c7914f32bb4fad4,1,79533,32735,546,154.0,14.83,168.83
185,0078a358a14592b887eb140ef515f5ab,1,12178,28809,259,253.52,82.86,336.38
186,0079bca8e89bd52fdb87408e4f3fb94d,1,40067,19748,318,49.9,7.39,57.29
187,007bbb40c95870c0f75a7855f2636c65,1,79641,18109,340,148.9,13.95,162.85
188,007beb35f98c075747e6fc4fd1c0cb73,1,75405,329,509,64.9,18.69,83.59
189,007c7cb12ef3567531307ca78d395758,1,98575,18867,23,179.0,16.0,195.0
190,007ec946d4f798caf2b43c9d44c56421,1,37798,21629,38,27.9,15.1,43.0
191,007ff0b0f79be782f633fc3b18cbe337,1,49425,17916,20,39.0,16.11,55.11
192,0080eebb288dba1857ccf048dfe6bdfe,1,7919,3494,434,7.0,14.1,21.1
193,0081ab2c99dc85945c28926b77dc6960,1,83718,15389,130,269.0,10.7,279.7
194,0081ce648af7d6a7bac2a93b6035d1e3,1,88837,5878,397,99.9,17.95,117.85
195,0084209c576daad6ff4534902fcb4892,1,98881,22572,155,69.9,15.24,85.14
196,0084e195fbd72ae51599af47f04afede,1,12053,547,299,89.9,23.13,113.03
197,00858d03144cc35cfd1dd043647e7c88,1,63234,15126,299,165.0,19.03,184.03
198,008720830a8a30e39e6f22f81818a141,1,65340,30223,505,57.99,11.73,69.72
199,0087889a1c836be17f58afd7f1729a4a,1,80869,15840,474,259.0,10.63,269.63
200,008819c6d5f6da6fa5cd9d50ca927cf4,1,47296,3255,40,55.0,7.65,62.65
201,00891ba5de66f55000ee358ceea9b345,1,62577,6687,42,133.0,16.69,149.69
202,008990da719764fb392914d8ab53ad04,1,54315,1054,80,35.9,18.23,54.13
203,008a1b3db2a8bf63418c2cf7c7f494b1,1,10845,24625,303,14.89,18.23,33.12
204,008a40c2b8b21893e04945ce58854b55,1,24159,31104,455,99.0,13.0,112.0
205,008c3a655c66f4d92370d0d422732f69,1,13549,9355,270,90.0,9.44,99.44
206,008ce8764db2e397e153000e017475b6,1,83876,17716,326,43.49,27.39,70.88
207,008cfe221ab054c89bc31720098cca51,1,37387,16302,3,109.99,36.85,146.84
208,008d9bf350ff02ed444b3452cf3f57e0,1,98531,22725,24,9.99,15.23,25.22
209,008d9bf350ff02ed444b3452cf3f57e0,2,98531,22725,24,9.99,15.23,25.22
210,008dc31c0ae7121f2791953ae5f532c3,1,33454,6255,353,28.5,34.15,62.65
211,008dd5e80ebf8f849aa0c5bf4e22ce7a,1,80334,22125,464,199.0,8.74,207.74
212,008eaf9004164883520d0bd32b107261,1,43376,26957,120,135.9,21.44,157.34
213,008f831b7185cff7ab35a46c37d64cd2,1,27589,25161,199,249.0,37.09,286.09
214,008fab5602c441d51f30b1464f5d4643,1,21022,2576,453,49.99,15.56,65.55
215,0091a677651feaf5a08d7bb147681e14,1,32887,1251,240,38.0,7.53,45.53
216,00921e4911895b93c7b4fc0d80c0815e,1,444,10469,62,85.0,11.62,96.62
217,0093cbf16a6afb7f0ab7cc821b6f9e92,1,32515,29654,209,117.3,25.66,142.96
218,00946f674d880be1f188abc10ad7cf46,1,50164,12134,164,99.9,18.57,118.47
219,00946f674d880be1f188abc10ad7cf46,2,50164,5474,164,99.9,14.35,114.25
220,00949655cdd8d0465e433a5e6c9643e5,1,51113,22739,143,18.0,7.87,25.87
221,0094bd07f49fed90209ffa62d1ef26d6,1,96331,23389,82,11.53,7.39,18.92
222,0094d4660e323945f84f5c29eb348aae,1,40904,4752,207,269.99,39.41,309.4
223,0094dc9ea7e3cd54d95aea42685673ff,1,46669,608,395,89.99,14.8,104.79
224,0095790a64527ec83aeaaf99023c050e,1,49297,23955,56,19.9,42.76,62.66
225,0096668e5b0b8e9657a6f7209a4e58b4,1,62516,2398,242,166.9,13.47,180.37
226,009742b43f4530bc3db7f62332c50f4b,1,4596,32371,250,133.74,12.44,146.18
227,00975e709cd12c34d3bd44e4a7f7a876,1,11796,8117,457,86.8,7.86,94.66
228,0097aafe2a01dd54e39888976160c377,1,98621,10439,476,62.0,8.59,70.59
229,0097f0545a302aafa32782f1734ff71c,1,63752,27961,489,158.0,10.68,168.68
230,0097f0545a302aafa32782f1734ff71c,2,63752,24435,489,308.0,31.16,339.16
231,009838529bb913846ab6670d22865381,1,83278,11335,336,129.0,47.4,176.4
232,0098dbda25722a3f019fe252a0cd10b3,1,8062,7743,83,143.54,21.49,165.03
233,009905140e9f8cc35d5be897937381db,1,51790,12209,19,39.99,18.23,58.22
234,009905140e9f8cc35d5be897937381db,2,51790,12209,19,39.99,18.23,58.22
235,00995d799817ecc3bd2abd8fbe59c430,1,86825,31521,47,49.9,12.92,62.82
236,00998f38df3012359ef195ca75ebb329,1,90311,20551,80,119.9,23.34,143.24
237,009ac365164f8e06f59d18a08045f6c4,1,76634,21220,367,16.9,15.1,32.0
238,009c278fa2ed6e7ec498200b60193ca8,1,70747,20988,178,29.99,15.1,45.09
239,009e11afa25aa95ae78e60a793995c9b,1,71630,21296,113,30.99,34.15,65.14
240,009fa9bd0d92710e840793bfefa80867,1,70534,14346,493,84.99,15.34,100.33
241,00a0116ff15ff973ea16bee881208ae7,1,36397,8291,428,149.0,45.12,194.12
242,00a12754417a49a9dec20361849aa917,1,87266,4379,110,48.9,8.82,57.72
243,00a13ab02fbe82f78cd84f14e41564ed,1,54210,22652,164,159.49,8.86,168.35
244,00a174dbf11967d260033fa6ab711493,1,60969,3772,126,249.9,41.53,291.43
245,00a1e977cf6e672402963940db55d919,1,23453,1013,12,24.89,7.75,32.64
246,00a250dbdb3153cc6ecf4d3f07ef6a17,1,63792,19773,342,53.99,7.78,61.77
247,00a379dfab816a83741012b71b264098,1,42623,25619,86,15.99,7.39,23.38
248,00a3a334aec7455a6d3319981499a3da,1,29297,13177,249,24.5,11.85,36.35
249,00a3f1ef430d3984dece2f39d6cbf431,1,19013,29878,326,179.0,22.99,201.99
250,00a4d94df1c9757661679b2f4bd6d311,1,25180,28009,140,37.9,21.43,59.33
251,00a57dfbb049fbaae10763e2cf15f797,1,7364,17249,301,89.9,22.56,112.46
252,00a57dfbb049fbaae10763e2cf15f797,2,7364,17249,301,89.9,22.56,112.46
253,00a57dfbb049fbaae10763e2cf15f797,3,7364,17249,301,89.9,22.56,112.46
254,00a690becda145533fa5a54daa7b6ad5,1,66502,20702,383,88.34,29.08,117.42
255,00a77f9cc25b05b2004752593d7b8888,1,9780,4069,543,177.9,18.5,196.4
256,00a843f5a80c7aea894c558acc29f513,1,13451,28178,486,32.99,14.1,47.09
257,00a870c6c06346e85335524935c600c0,1,25955,13431,101,69.9,0.0,69.9
258,00a9536682ecb394a3794c1608200803,1,9999,21394,427,109.9,12.27,122.17
259,00aa423621f35a9ca6c6240f275b0640,1,50376,23587,367,110.9,14.51,125.41
260,00ab1aba567dfebdc39caa4e7ca2f1b2,1,38378,21894,486,35.9,12.48,48.38
261,00ab210695a17fe10e6b23616ae5bc97,1,12800,290,219,39.0,7.53,46.53
262,00ab3a43bda739029ffce95d3b2fb56c,1,37352,4851,173,27.9,7.46,35.36
263,00ab9fa91aafa3d881164b0da48999aa,1,91033,25091,127,579.0,65.34,644.34
264,00ac05fe0fc047c54418098eb64e3aaa,1,7006,2360,428,99.9,23.57,123.47
265,00ac2a1ec784f71feeb7ba1e5959750d,1,52827,20726,388,37.0,19.32,56.32
266,00ace652c8a5072670f30674e5f19844,1,78362,6350,215,116.6,30.66,147.26
267,00ad1a02d4d9decad15c7e8f8a9470cc,1,95556,6528,40,49.0,19.25,68.25
268,00af3d9ddff7f256e83d79247dbe1a9f,1,43805,19800,33,65.0,25.73,90.73
269,00af53fdc2002f5b6a8f16db648e003b,1,93732,290,370,39.9,11.85,51.75
270,00b12f4674177ef40c4bdb034138c843,1,50651,19832,63,105.0,17.87,122.87
271,00b1861aeb89afa498404c684148a619,1,2621,31017,3,25.79,23.33,49.12
272,00b1861aeb89afa498404c684148a619,2,2621,31017,3,25.79,23.33,49.12
273,00b2d2f2b5f7b98e6b1828764660134e,1,27847,11493,22,146.01,13.68,159.69
274,00b30bb163474583c14db1689259cf4d,1,21058,21486,177,189.9,26.61,216.51
275,00b402e8a76d3da83714c52d3977cc2d,1,52646,22401,319,139.65,26.26,165.91
276,00b44ba3d7c4a5e9a9ebafef9150781d,1,89540,7043,470,59.9,7.68,67.58
277,00b47ee856118583dbec7d1f9b18d847,1,67877,252,36,13.65,15.23,28.88
278,00b4846d477a7baf5d4e47970bc08c7e,1,24417,26997,81,31.9,16.11,48.01
279,00b4a910f64f24dbcac04fe54088a443,1,92176,29586,599,33.99,16.6,50.59
280,00b4c651133c06fb175123a492f1cac3,1,84071,21493,446,158.9,14.59,173.49
281,00b5e1c770b1868ec1b6b726be3aa9b9,1,20136,19518,334,47.4,11.85,59.25
282,00b676b01c289cc661c6f7732492771a,1,62083,663,371,50.0,21.19,71.19
283,00b6c055922e0ed2d88efdd252b2fb64,1,26147,13164,82,59.9,11.15,71.05
284,00b6e66f005a657a6b13eedcacdf9342,1,58986,15673,241,199.0,39.66,238.66
285,00b6e66f005a657a6b13eedcacdf9342,2,58986,15673,241,199.0,39.66,238.66
286,00b7174ea52bb811ebe2663add51afc0,1,24987,5279,121,69.9,23.07,92.97
287,00b8d354b36820e9d6131fd5173c5581,1,78810,27750,327,50.21,15.1,65.31
288,00b9e0f8f588d0406a3de447eb606970,1,79460,28709,81,39.9,16.6,56.5
289,00ba414462370af2d76195d12e0d5481,1,96169,26180,54,24.99,14.1,39.09
290,00ba57ae98928df6ba6ec9d3d8d4b1b7,1,17976,5929,400,130.0,19.01,149.01
291,00bbc4179554524748f77763ddd62266,1,3330,5823,503,89.99,7.88,97.87
292,00bc78808b22918a467b2fa4b8ef5d68,1,23298,3837,592,69.0,15.69,84.69
293,00bcee890eba57a9767c7b5ca12d3a1b,1,26584,712,133,165.5,15.8,181.3
294,00bcee890eba57a9767c7b5ca12d3a1b,2,26584,8097,133,175.91,52.69,228.6
295,00bcee890eba57a9767c7b5ca12d3a1b,3,26584,11266,133,165.5,15.8,181.3
296,00bcee890eba57a9767c7b5ca12d3a1b,4,26584,16282,133,165.5,15.8,181.3
297,00bd2cb7e9076e1ccc9f766fc01a4cfd,1,80525,7259,174,98.81,13.81,112.62
298,00bd50cdd31bd22e9081e6e2d5b3577b,1,37332,23602,222,78.0,7.8,85.8
299,00bd8cf08fa3998ea6ad6d16c2165822,1,85446,4424,233,21.8,12.48,34.28
300,00bdcdda88e6b02977fc6ce3d412c600,1,49765,32206,219,118.9,18.93,137.83
301,00bdebefeb760588a3425fad9dfed3d9,1,9974,3086,279,119.8,20.18,139.98
302,00beb247698c6aae94e3f859d279e2cd,1,72645,18931,255,45.0,7.39,52.39
303,00bf1320ffb5fe47a845feca16c0e0b4,1,26848,17350,148,449.0,20.39,469.39
304,00c00d5b36157595e21108ba1da2828f,1,92188,10854,144,139.85,16.61,156.46
305,00c00d5b36157595e21108ba1da2828f,2,92188,10854,144,139.85,16.61,156.46
306,00c2335723b9b74668062e946dc66621,1,92246,22157,582,18.9,12.48,31.38
307,00c405bd71187154a7846862f585a9d4,1,90851,20519,474,29.9,16.79,46.69
308,00c42b1633c1b2fa4e937bf312466561,1,70844,14302,146,39.9,15.1,55.0
